sex,year,sido,height_2016,weight_2016,waist_2016,sight_left_2016,sight_right_2016,hearing_left_2016,hearing_right_2016,SBP_2016,RPBP_2016,cholesterol_2016,triglycerides_2016,HDL_2016,LDL_2016,blood_pigment_2016,urine_protein_2016,serum_creatinine_2016,AST_2016,ALT_2016,gamma_gtp_2016,smoking_2016,oral_inspection_2016,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,7,31,164.9735337,65.21523677,85.06884936,0.864487423,0.839830513,1.101108619,1.099843856,127.7007055,77.32886952,188.1703711,137.722875,51.75267289,109.9595312,14.6471386,1.097035828,0.962028021,27.71044174,26.49794316,43.23186322,1.921580457,0.521780604,0.156282648,0.327869733,0.54362917,0.370175505,0.691699372,1.182446327
1,7,41,164.5890655,65.80001969,85.75519133,0.895517767,0.881305803,1.052380618,1.046815857,127.5472649,77.82326799,187.1351943,138.2693136,52.00361515,108.1567826,14.84658878,1.126024476,0.989848616,27.63075083,26.61312596,45.2990231,1.947417945,0.316991791,0.162530304,3.204943587,5.314003238,3.618484695,6.761397116,11.55847397
1,7,42,164.2524202,66.16075992,85.76880855,0.915693201,0.90334594,1.070185242,1.076608434,128.9162672,78.37292077,183.7816226,138.8593159,51.05892435,105.3816576,14.89168279,1.139023042,1.008941865,27.93282797,26.65628666,44.79735945,1.908643352,0.269301904,0.183710005,0.529734355,0.878333737,0.598087175,1.117568607,1.910461319
1,7,43,164.2161589,64.7159448,85.26755853,0.920911994,0.884449515,1.059584762,1.056812518,127.0674238,78.56565871,184.1952657,137.7763696,51.47635939,106.0194501,14.83887823,1.11529119,1.002843491,28.43156055,27.23744541,43.12274113,1.882619604,0.389728055,0.148488095,0.498589167,0.826693005,0.562923253,1.051862306,1.798137704
1,7,44,164.3797012,65.55917708,85.94021678,0.933380916,0.900846964,1.061149405,1.054036981,127.8028755,78.6434708,185.6640846,146.9539942,51.00145864,106.6132475,14.83176946,1.119814617,0.942498254,29.07028729,27.62635283,48.81001545,1.866858003,0.247310312,0.151888315,0.6637224,1.10049456,0.749364,1.40024016,2.39368272
1,7,45,164.3379869,65.49323944,85.4664427,0.913871387,0.921034733,1.066639394,1.061782976,127.4954128,78.2367426,185.9830187,142.0693226,50.04363463,107.8872491,14.66641485,1.09897003,0.997157917,27.67384304,26.2216103,46.96093087,1.839866589,0.390314151,0.168600163,0.643662905,1.067234622,0.726716183,1.357921095,2.32133912
1,7,46,165.0256654,66.01128358,85.69032464,0.884003457,0.897523913,1.063662886,1.055817077,127.7568279,78.51793874,187.6268336,143.3249429,51.70182505,109.2851597,14.54575814,1.103582147,1.007652861,29.16925986,28.31347725,53.52560367,1.752336028,0.237343291,0.180057665,0.689027483,1.14245202,0.777934255,1.453625722,2.484944277
1,7,47,164.6603263,65.41963612,85.74587746,0.878184389,0.894102516,1.075655425,1.071459861,127.3352361,77.12414788,188.0756735,141.6725247,51.26132301,109.0763342,14.66435082,1.105713195,0.993997264,27.66401487,26.14310884,44.52601408,1.887414156,0.211053058,0.159027575,0.980525056,1.625773802,1.107044418,2.068591569,3.536216168
1,7,48,164.8963621,65.05507554,84.65884585,0.887750744,0.899843995,1.091686053,1.089047544,125.9164599,77.12146078,188.7111713,134.2684028,54.42430472,111.0709984,14.58565237,1.117349873,0.952935524,28.3745575,26.67047964,46.38678354,1.920145377,0.238343525,0.147890078,1.053269392,1.746388605,1.18917512,2.222058653,3.798565098
1,7,49,164.5414372,66.79438762,86.53084186,0.793739837,0.829617099,1.044702334,1.030238657,128.3984002,79.67692106,189.9599397,121.2127983,51.33794912,114.719368,15.00094545,1.150065565,1.005605822,27.71601101,27.39586939,46.27185943,1.990073433,0.371466037,0.177248885,0.179005811,0.296803183,0.202103335,0.377644517,0.645575796
1,8,11,162.2911548,61.57524886,85.47124155,0.794339997,0.75815366,1.182150919,1.174362832,130.9155451,75.04721636,176.0118926,114.9151381,52.38428973,100.6480721,13.98559284,1.165821259,1.067926942,25.5181127,21.01310607,32.70564984,1.64156664,0.331333242,0.128747856,1.60264643,3.354376248,1.174031687,5.236554032,11.96394195
1,8,26,162.5851251,60.76298845,84.17306624,0.81346813,0.725026782,1.21408679,1.20703487,126.7100751,74.22409313,181.9690259,117.0771436,51.09336422,107.555241,13.6131445,1.181939181,1.081238891,26.70436534,21.6347521,36.85877722,1.617846853,0.277381317,0.125802973,0.635381579,1.329868422,0.465453948,2.07607237,4.743197372
1,8,27,161.7821981,60.09898622,84.20343582,0.678025713,0.717524942,1.245542198,1.229204195,129.9052812,74.44750728,178.4834937,118.6480366,51.33474384,103.8197192,13.77849549,1.146251309,1.04974265,25.85600477,20.51142635,30.94782917,1.653036868,0.283483921,0.146643566,0.388529562,0.813201408,0.284620493,1.269497754,2.900418355
1,8,28,161.6491409,60.4223879,85.20128642,0.874780529,0.8637252,1.180216882,1.178781107,131.1548009,75.92657793,176.6118263,120.9005547,50.59459445,101.8347567,13.86926725,1.140471829,1.101812456,25.62666185,20.91880797,33.98152453,1.659215699,0.302904717,0.15035535,0.387726304,0.811520172,0.28403206,1.266873157,2.894421947
1,8,29,162.5632093,61.41602141,85.01462672,0.765708786,0.743459847,1.235510907,1.227715643,128.6289301,76.74037885,171.4698613,121.0804743,48.55361101,98.87025375,13.90585725,1.078973659,1.088358924,26.32263336,21.85526569,38.7715262,1.514149235,0.338825445,0.187156165,0.206641608,0.432505692,0.151376992,0.675189441,1.542603635
1,8,30,161.8508396,60.94597903,84.70426726,0.667987453,0.76864185,1.148404944,1.133072932,130.8150567,76.09129319,174.1447991,121.3639343,50.77412917,99.20474872,13.77530024,1.163913626,1.044495805,26.09441237,21.62307794,36.35227861,1.672136661,0.367452234,0.126913273,0.209517173,0.438524316,0.153483511,0.684585182,1.56407006
1,8,31,162.4113418,61.28241077,84.80457955,0.693774022,0.678634049,1.207074007,1.211343013,129.2933273,76.76517544,193.6331597,123.6876616,50.86750176,118.0611053,13.78987051,1.064584036,1.047580939,26.10085451,20.71992211,32.36403005,1.5814756,0.33677077,0.116808328,0.12057421,0.252364626,0.088327619,0.393969222,0.900100499
1,8,41,161.9853662,61.2035704,85.27642037,0.824662371,0.852717264,1.165699335,1.155074846,130.2056336,74.79403599,177.6763484,119.1212688,51.36612665,102.5662775,13.98300332,1.169550072,1.075000336,25.54847925,21.08142337,32.82830313,1.645345321,0.245201669,0.140770015,1.711575775,3.582367902,1.253828766,5.592474336,12.77711218
1,8,42,161.4492143,61.26514196,85.45910469,0.74558608,0.799323977,1.162730903,1.147304121,131.1619622,76.36407548,174.0692162,117.1412204,49.7707632,100.9838171,14.01664737,1.168095403,1.094937039,26.19787775,21.20635788,35.48564628,1.536585349,0.19806102,0.125879226,0.356009513,0.74513619,0.260797667,1.163240386,2.657652411
1,8,43,161.3808516,59.89108568,84.88325521,0.777516639,0.909578406,1.182247514,1.165159532,129.9126843,76.89960518,178.5069028,121.3294561,51.57063583,102.6778429,13.9228645,1.117770615,1.086063842,26.42980985,22.23536618,35.59882063,1.613812692,0.230176807,0.119022294,0.310566038,0.65002194,0.227507679,1.014756473,2.318411586
1,8,44,160.967388,59.20042582,83.87473868,0.748728401,0.787354827,1.174717416,1.165482254,129.5965468,76.75736422,176.1012944,123.1705514,50.79547137,101.0544681,13.77741167,1.137009709,1.010702251,26.95230624,21.25980579,34.80839931,1.600447508,0.146040467,0.10575572,0.455114399,0.952565022,0.333397758,1.48705984,3.397481912
1,8,45,161.1586837,58.79255934,83.77103616,0.786947868,0.84047258,1.148249353,1.133628423,129.4058594,76.31020118,178.3782772,124.110869,49.13058082,104.3909306,13.44124765,1.093927264,1.070367804,25.51609765,20.30630952,33.30906075,1.5178226,0.261133503,0.132185762,0.422256878,0.883793466,0.309327713,1.3796998,3.152196695
1,8,46,161.2356346,59.15525767,83.94397145,0.730997461,0.805691091,1.140513293,1.141840662,129.3430467,77.55079798,177.1247625,119.3009668,49.97600926,103.3945985,13.28708005,1.085694052,1.123706563,26.62484019,21.92129961,36.88812397,1.495462823,0.111891264,0.134129709,0.491883639,1.029523896,0.360333364,1.607201193,3.671968562
1,8,47,161.0094789,59.06742261,83.85357179,0.717679518,0.743270803,1.17725722,1.171600035,129.4021634,76.99645497,180.2362892,120.6707834,51.96539248,104.1310192,13.74235425,1.117411054,1.017986628,26.61625034,20.75908326,33.4039382,1.640081382,0.094897494,0.104259824,0.608070826,1.27270638,0.445447233,1.986836071,4.539319422
